user_id,utc_date,model,wallet_type,cost,currency
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-01,deepseek-chat,Paid,0.0326240000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-02,deepseek-chat,Paid,0.9181710000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-02,deepseek-reasoner,Paid,0.0144880000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-03,deepseek-chat,Paid,0.4385190000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-04,deepseek-chat,Paid,0.0485520000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-05,deepseek-chat,Paid,0.1963700000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-06,deepseek-chat,Paid,0.0690120000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-07,deepseek-reasoner,Paid,0.3784400000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-08,deepseek-chat,Paid,0.1021120000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-08,deepseek-reasoner,Paid,0.2727200000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-09,deepseek-chat,Paid,0.7494710000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-10,deepseek-chat,Paid,0.4647180000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-11,deepseek-chat,Paid,0.0783620000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-11,deepseek-reasoner,Paid,0.2420040000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-12,deepseek-chat,Paid,0.2779660000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-12,deepseek-reasoner,Paid,0.1091600000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-13,deepseek-chat,Paid,0.3994610000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-13,deepseek-reasoner,Paid,0.1893470000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-14,deepseek-chat,Paid,0.5694140000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-15,deepseek-chat,Paid,0.7851830000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-16,deepseek-chat,Paid,0.3155800000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-16,deepseek-reasoner,Paid,0.0945760000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-17,deepseek-chat,Paid,0.5432120000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-18,deepseek-chat,Paid,0.1150880000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-19,deepseek-chat,Paid,0.7090990000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-19,deepseek-reasoner,Paid,0.0520400000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-20,deepseek-chat,Paid,1.1884860000000000,CNY
